route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851014F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87384008:5:1855:20251212,851014,1,27180,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851015F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87387001:5:2046:20260327,851015,0,27181,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851015F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87387001:5:2047:20251212,851015,0,27182,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851018F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87384008:5:2153:20260327,851018,1,27183,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000441,OCESN851018F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87384008:5:2153:20251212,851018,1,27184,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000018,OCESN851018F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87384008:5:2152:20251112,851018,1,27185,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000623,OCESN851020F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87444315:87384008:10:628:20260323,851020,1,27186,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000019,OCESN851020F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87444315:87384008:10:628:20251208,851020,1,27187,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000018,OCESN851020F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87444315:87384008:10:628:20251112,851020,1,27188,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851022F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87444315:87384008:10:728:20260327,851022,1,27189,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851022F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87444315:87384008:10:728:20251212,851022,1,27190,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851024F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87444315:87384008:10:850:20260327,851024,1,27191,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000441,OCESN851024F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87444315:87384008:10:850:20251212,851024,1,27192,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000018,OCESN851024F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87444315:87384008:10:850:20251112,851024,1,27193,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851031F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87444315:10:1814:20260327,851031,0,27194,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851031F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87444315:10:1815:20251212,851031,0,27195,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851033F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87444315:10:1926:20260327,851033,0,27196,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851033F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87444315:10:1927:20251212,851033,0,27197,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851035F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87444315:10:2026:20260327,851035,0,27198,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851035F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87444315:10:2027:20251212,851035,0,27199,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,005677,OCESN851037F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87444315:10:1305:20260325,851037,0,27200,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,001663,OCESN851037F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87444315:10:1306:20251210,851037,0,27201,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851042F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87384008:5:728:20260327,851042,1,27202,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851042F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87384008:5:728:20251212,851042,1,27203,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851043F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87387001:5:1844:20260327,851043,0,27204,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851043F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87387001:5:1844:20251212,851043,0,27205,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851044F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87384008:5:850:20260327,851044,1,27206,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000441,OCESN851044F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87384008:5:850:20251212,851044,1,27207,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851045F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87387001:5:1943:20260327,851045,0,27208,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851045F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87387001:5:1945:20251212,851045,0,27209,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,005677,OCESN851047F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87387001:5:1221:20260325,851047,0,27210,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,001663,OCESN851047F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87384008:87387001:5:1223:20251210,851047,0,27211,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,005677,OCESN851060F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87444315:87387001:6:1351:20260325,851060,1,27212,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,001663,OCESN851060F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87444315:87387001:6:1355:20251210,851060,1,27213,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000623,OCESN851070F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:621:20260323,851070,1,27214,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000624,OCESN851070F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:621:20251208,851070,1,27215,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851071F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:1823:20260327,851071,0,27216,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851071F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:1825:20251212,851071,0,27217,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851072F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387092:87381509:3:721:20260327,851072,1,27218,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851072F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387092:87381509:3:721:20251212,851072,1,27219,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851073F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:1924:20260327,851073,0,27220,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851073F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:1927:20251212,851073,0,27221,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851074F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387092:87381509:3:820:20260327,851074,1,27222,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851074F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387092:87381509:3:821:20251212,851074,1,27223,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000123,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87581009:2:1714:20260314,8511,0,27224,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,005678,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1940:20260218,8511,0,27225,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,005679,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1940:20260219,8511,0,27226,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,004849,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1940:20260213,8511,0,27227,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000055,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1940:20251227,8511,0,27228,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,005680,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1940:20260220,8511,0,27229,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,005681,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1940:20251226,8511,0,27230,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000138,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1940:20260327,8511,0,27231,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,005682,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1940:20260328,8511,0,27232,
