stop_id,name,abbrev,code_insee,lat,lon
87381137,Asnières-sur-Seine,AEE,92004,48.9058,2.28324
87763250,Aspres-sur-Buëch,ASH,05010,44.519428,5.7545655
87672162,Assat,ATK,64067,43.2543993,-0.2950176
87613075,Assier,AER,46009,44.6746197,1.8697681
87545251,Athis-Mons,ATH,91027,48.712557,2.403749
87751750,Aubagne,AUB,13005,43.296045,5.56658
87594465,Aubazines - Saint-Hilaire,ABA,19211,45.1816781,1.6412346
87386730,Aubergenville Élisabethville,AEH,78029,48.971825,1.8484987
87734111,Aubiat,AUK,63013,45.983812,3.1605115
87491233,Aubie - Saint-Antoine,ATX,33018,45.0151419,-0.4198843
87611764,Aubiet,AIT,32012,43.6502068,0.7891179
87396572,Aubigné-Racan,ABG,72013,47.686945,0.2657714
87345447,Aubigny-au-Bac,AAB,59026,50.2685315,3.158706
87342246,Aubigny-en-Artois,ABI,62045,50.35297,2.5928045
87613224,Aubin,AVB,12013,44.5272762,2.2393128
87316604,Aubin-Saint-Vaast,AUV,62046,50.3946137,1.9705382
87191684,Auboué,ABE,54028,49.216163,5.9714608
87172122,Aubrives,ARI,08028,50.1044507,4.7616512
87597823,Aubusson,AOO,23008,45.9596691,2.1617231
87611749,Auch,AUH,32013,43.647488,0.596661
87317230,Auchy-lès-Hesdin,AHH,62050,50.3963631,2.1022448
87444059,Audrieu,ADR,14026,49.2161315,-0.5960138
87281428,Audruicq,ADQ,62057,50.87567,2.07636
87194357,Audun-le-Roman,ALR,54029,49.36682,5.89139
87415158,Auffay,AUF,76034,49.716044,1.098441
87562421,Aulnat Aéroport,AUL,63019,45.7920571,3.1614332
87271411,Aulnay-sous-Bois,ABM,93005,48.93179,2.49431
87295600,Aulnoye-Aymeries,AYE,59033,50.19749,3.84337
87313767,Aumale,AUM,76035,49.7650371,1.7560425
87783266,Aumont-Aubrac,AAU,48009,44.7181699,3.2835489
87545657,Auneau,AUN,28317,48.4458242,1.77998
87476200,Auray,ARY,56007,47.68022,-2.999995
87726760,Aurec-sur-Loire,AEC,43012,45.3711611,4.1983439
87645002,Aurillac,AUC,15014,44.921092,2.435655
87611384,Auterive,AIE,31033,43.348993,1.468831
87276543,Auvers-sur-Oise,AUW,95039,49.07062,2.17526
87683573,Auxerre Saint-Gervais,AUX,89024,47.797645,3.58514
87713347,Auxonne,AXO,21639,47.192663,5.37737
87683789,Avallon,AVA,89025,47.4957553,3.9124463
87171579,Avenay,AAY,51028,49.0647826,4.043689
87543207,Avenue du Président Kennedy Maison de Radio France,APK,75116,48.853322,2.279969
87381038,Avenue Foch,AVF,75116,48.870971,2.2756167
87381046,Avenue Henri Martin,AHM,75116,48.8644077,2.272238
87295725,Avesnelles,AVS,59035,50.1185513,3.9485876
87295733,Avesnes-sur-Helpe,AVN,59036,50.12674,3.93295
87765008,Avignon Centre,AVI,84007,43.9419,4.805281
87981902;87318964,Avignon TGV,AVV,84007,43.921586,4.786079
